Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('d1600143', 0.0)
('d1600144', 0.0)
('d1600145', 0.0)
('d1600146', 0.0)
('d1600147', 0.0)
('d1600148', 0.0)
('d1600149', 0.0)
('d1600150', 0.0)
('d1600151', 0.0)
('d1600152', 0.0)
('d1600153', 0.0)
('d1600154', 0.0)
('d1600155', 0.0)
('d1600156', 0.0)
('d1600157', 0.0)
('d1600158', 0.0)
('d1600159', 0.0)
('d1600160', 0.0)
('d1600161', 0.0)
('d1600162', 0.0)
('d1600163', 0.0)
('d1600164', 0.0)
('d1600165', 0.0)
('d1600166', 0.0)
('d1600167', 0.0)
('d1600168', 0.0)
('d1600169', 0.0)
('d1600170', 0.0)
('d1600171', 0.0)
('d1600172', 0.0)
('d1600173', 0.0)
('d1600174', 0.0)
('d1600175', 0.0)
('d1600176', 0.0)
('d1600177', 0.0)
('d1600178', 0.0)
('d1600179', 0.0)
('d1600180', 0.0)
('d1600181', 0.0)
('d1600182', 0.0)
('d1600183', 0.0)
('d1600184', 0.0)
('d1600185', 0.0)
('d1600186', 0.0)
('d1600187', 0.0)
('d1600188', 0.0)
('d1600189', 0.0)
('d1600190', 0.0)
('d1600191', 0.0)
('d1600192', 0.0)
('d1600193', 0.0)
('d1600194', 0.0)
('d1600195', 0.0)
('d1600196', 0.0)
('d1600197', 0.0)
('d1600198', 0.0)
('d1600199', 0.0)
('d1600200', 0.0)
('d1600201', 0.0)
('d1600202', 0.0)
('d1600203', 0.0)
('d1600204', 0.0)
('d1600205', 0.0)
('d1600206', 0.0)
('d1600207', 0.0)
('d1600208', 0.0)
('d1600209', 0.0)
('d1600210', 0.0)
('d1600211', 0.0)
('d1600212', 0.0)
('d1600213', 0.0)
('d1600214', 0.0)
('d1600215', 0.0)
('d1600216', 0.0)
('d1600217', 0.0)
('d1600218', 0.0)
('d1600219', 0.0)
('d1600220', 0.0)
('d1600221', 0.0)
('d1600222', 0.0)
('d1600223', 0.0)
('d1600224', 0.0)
('d1600225', 0.0)
('d1600226', 0.0)
('d1600227', 0.0)
('d1600228', 0.0)
('d1600229', 0.0)
('d1600230', 0.0)
('d1600231', 0.0)
('d1600232', 0.0)
('d1600233', 0.0)
('d1600234', 0.0)
('d1600235', 0.0)
('d1600236', 0.0)
('d1600237', 0.0)
('d1600238', 0.0)
('d1600239', 0.0)
('d1600240', 0.0)
('d1600241', 0.0)
('d1600242', 0.0)
('d1600243', 0.0)
('d1600244', 0.0)
('d1600245', 0.0)
('d1600246', 0.0)
('d1600247', 0.0)
('d1600248', 0.0)
('d1600249', 0.0)
('d1600250', 0.0)
('d1600251', 0.0)
('d1600252', 1.7693069370762273)
('d1600253', 0.0)
('d1600254', 0.7755629988671411)
('d1600255', 0.0)
('d1600256', 0.0)
('d1600257', 0.0)
('d1600258', 0.0)
('d1600259', 0.0)
('d1600260', 0.0)
('d1600261', 0.0)
('d1600262', 4.09090827505405)
('d1600263', 7.660015647696035)
('d1600264', 9.934205647719786)
('d1600265', 2.47586108285429)
('d1600266', 9.95867047440048)
('d1600267', 0.0)
('d1600268', 16.061692917910143)
('d1600269', 0.7843612016970097)
('d1600270', 0.7843612016970097)
('d1600271', 0.7843612016970097)
('d1600272', 0.0)
('d1600273', 1.5687224033940195)
('d1600274', 2.8470447219968475)
('d1600275', 23.897912125368137)
('d1600276', 12.890664827269656)
('d1600277', 9.058147664995925)
('d1600278', 15.955985251363595)
('d1600279', 7.106817802327308)
('d1600280', 18.1579715269494)
('d1600281', 5.21291575414613)
('d1600282', 4.193463598293248)
('d1600283', 14.459387230663676)
('d1600284', 14.459387230663676)
('d1600285', 7.915680505597223)
('d1600286', 4.193463598293248)
('d1600287', 4.29926211483818)
('d1600288', 23.89984856787695)
('d1600289', 12.026605471819686)
('d1600290', 22.074350805629646)
('d1600291', 4.193463598293248)
('d1600292', 35.79948350131056)
('d1600293', 5.36478203272315)
('d1600294', 18.973837141197887)
('d1600295', 46.007092964395305)
('d1600296', 35.153550615775714)
('d1600297', 34.685734469051724)
('d1600298', 28.134413259630342)
('d1600299', 6.0700586588091365)
('d1600300', 45.68115624246301)
('d1600301', 28.134413259630342)
('d1600302', 0.0)
('d1600303', 0.0)
('d1600304', 0.0)
('d1600305', 0.0)
('d1600306', 0.0)
('d1600307', 0.0)
('d1600308', 0.0)
('d1600309', 0.0)
('d1600310', 0.0)
('d1600311', 0.0)
('d1600312', 0.0)
('d1600313', 0.0)
('d1600314', 0.0)
('d1600315', 0.0)
('d1600316', 0.0)
('d1600317', 0.0)
('d1600318', 0.0)
('d1600319', 0.0)
('d1600320', 0.0)
('d1600321', 0.0)
('d1600322', 0.0)
('d1600323', 0.0)
('d1600324', 0.0)
('d1600325', 0.0)
('d1600326', 0.0)
('d1600327', 0.0)
('d1600328', 0.0)
('d1600329', 0.0)
('d1600330', 0.0)
('d1600331', 0.0)
('d1600332', 0.0)
('d1600333', 0.0)
('d1600334', 0.0)
('d1600335', 0.0)
('d1600336', 0.0)
('d1600337', 0.0)
('d1600338', 0.0)
('d1600339', 0.0)
('d1600340', 0.0)
('d1600341', 0.0)
('d1600342', 0.0)
('d1600343', 0.0)
('d1600344', 0.0)
('d1600345', 0.0)
('d1600346', 0.0)
('d1600347', 0.0)
('d1600348', 0.0)
('d1600349', 0.0)
('d1600350', 0.0)
('d1600351', 0.0)
('d1600352', 0.0)
('d1600353', 0.0)
('d1600354', 0.0)
('d1600355', 0.0)
('d1600356', 0.0)
('d1600357', 0.0)
('d1600358', 0.0)
('d1600359', 0.0)
('d1600360', 0.0)
('d1600361', 0.0)
('d1600362', 0.0)
('d1600363', 0.0)
('d1600364', 0.0)
('d1600365', 0.0)
('d1600366', 0.0)
('d1600367', 0.0)
('d1600368', 0.0)
('d1600369', 0.0)
('d1600370', 0.0)
('d1600371', 0.0)
('d1600372', 0.0)
('d1600373', 0.0)
('d1600374', 0.0)
('d1600375', 0.0)
('d1600376', 0.0)
('d1600377', 0.0)
