Optimize a model with 1700 rows, 1098 columns and 3251 nonzeros
Coefficient statistics:
  Matrix range     [4e-06, 1e+00]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+02, 1e+02]
  RHS range        [8e+01, 8e+01]
Presolve removed 1435 rows and 809 columns
Presolve time: 0.04s
Presolved: 265 rows, 289 columns, 1794 nonzeros

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    2.6373842e+04   4.120979e+03   0.000000e+00      0s
     347    1.1961861e+04   0.000000e+00   0.000000e+00      0s

Solved in 347 iterations and 0.08 seconds
Optimal objective  1.196186083e+04
('d1600878', 0.0)
('d1600879', 0.0)
('d1600880', 0.0)
('d1600881', 0.0)
('d1600882', 0.0)
('d1600883', 0.0)
('d1600884', 0.0)
('d1600885', 0.0)
('d1600886', 0.0)
('d1600887', 0.0)
('d1600888', 0.0)
('d1600889', 0.0)
('d1600890', 0.0)
('d1600891', 0.0)
('d1600892', 0.0)
('d1600893', 0.0)
('d1600894', 0.0)
('d1600895', 0.0)
('d1600896', 0.0)
('d1600897', 0.0)
('d1600898', 0.0)
('d1600899', 0.0)
('d1600900', 0.0)
('d1600901', 0.0)
('d1600902', 0.0)
('d1600903', 0.0)
('d1600904', 0.0)
('d1600905', 0.0)
('d1600906', 0.0)
('d1600907', 0.0)
('d1600908', 0.0)
('d1600909', 0.0)
('d1600910', 0.0)
('d1600911', 0.0)
('d1600912', 0.0)
('d1600913', 0.0)
('d1600914', 0.0)
('d1600915', 0.0)
('d1600916', 0.0)
('d1600917', 0.0)
('d1600918', 0.0)
('d1600919', 0.0)
('d1600920', 31.301011422198364)
('d1600921', 39.57991696139816)
('d1600922', 57.39867631078354)
('d1600923', 72.60897527461954)
('d1600924', 73.58158702960407)
('d1600925', 72.05864055466289)
('d1600926', 75.40070104330661)
('d1600927', 85.87174711028575)
('d1600928', 86.00548495779073)
('d1600929', 87.02343996196001)
('d1600930', 86.36407431046217)
('d1600931', 84.60986179678619)
('d1600932', 79.45877697005346)
('d1600933', 93.5660299616539)
('d1600934', 89.25206653997321)
('d1600935', 100.0)
('d1600936', 100.0)
('d1600937', 100.0)
('d1600938', 97.14432797829654)
('d1600939', 86.85891338544407)
('d1600940', 95.49380412135125)
('d1600941', 93.89338771679286)
('d1600942', 87.91997215113271)
('d1600943', 91.99885485356349)
('d1600944', 100.0)
('d1600945', 88.88266687407561)
('d1600946', 90.3200229374713)
('d1600947', 94.46480382127682)
('d1600948', 100.0)
('d1600949', 88.76852138895558)
('d1600950', 100.0)
('d1600951', 87.19979898556156)
('d1600952', 100.0)
('d1600953', 100.0)
('d1600954', 100.0)
('d1600955', 100.0)
('d1600956', 91.04998172543655)
('d1600957', 91.29544257521982)
('d1600958', 95.70424651826208)
('d1600959', 91.61078476101548)
('d1600960', 93.93193543144503)
('d1600961', 93.63268614415782)
('d1600962', 100.0)
('d1600963', 77.78746456519744)
('d1600964', 85.10278780921712)
('d1600965', 100.0)
('d1600966', 86.8460980573619)
('d1600967', 100.0)
('d1600968', 89.24908885203054)
('d1600969', 86.18012815372255)
('d1600970', 0.0)
('d1600971', 0.0)
('d1600972', 0.0)
('d1600973', 0.0)
('d1600974', 0.0)
('d1600975', 0.0)
('d1600976', 0.0)
('d1600977', 0.0)
('d1600978', 0.0)
('d1600979', 0.0)
('d1600980', 0.0)
('d1600981', 0.0)
('d1600982', 0.0)
('d1600983', 0.0)
('d1600984', 0.0)
('d1600985', 0.0)
('d1600986', 0.0)
('d1600987', 0.0)
('d1600988', 0.0)
('d1600989', 0.0)
('d1600990', 0.0)
('d1600991', 0.0)
('d1600992', 0.0)
('d1600993', 0.0)
('d1600994', 0.0)
('d1600995', 0.0)
('d1600996', 0.0)
('d1600997', 0.0)
('d1600998', 0.0)
('d1600999', 0.0)
('Obj:', 11961.86082974661)
